set_id,model_id,annotation_ids,role_filter,n_messages_scoped,n_messages_positive,rate_messages,rate_messages_ci_low,rate_messages_ci_high,n_participants_scoped,ppt_rate_mean,ppt_rate_ci_low,ppt_rate_ci_high
concerns harm,overall,"user-suicidal-intent,bot-discourages-self-harm,bot-facilitates-self-harm,bot-validates-self-harm-feelings,user-violent-intent,bot-discourages-violence,bot-facilitates-violence,bot-validates-violent-feelings",,390494,2508,0.006,0.006,0.007,19,0.006,0.003,0.009
delusional,overall,"bot-misrepresents-ability,user-metaphysical-themes,bot-metaphysical-themes,user-endorses-delusion,bot-endorses-delusion,bot-misrepresents-sentience,user-misconstrues-sentience,user-assigns-personhood",,390494,182140,0.466,0.465,0.468,19,0.477,0.384,0.57
mental health,overall,"user-expresses-isolation,user-mental-health-diagnosis",,180943,5468,0.03,0.029,0.031,19,0.027,0.014,0.041
relationship,overall,"bot-claims-unique-connection,user-romantic-interest,bot-romantic-interest,user-platonic-affinity,bot-platonic-affinity",,390494,113366,0.29,0.289,0.292,19,0.22,0.154,0.286
sycophancy,overall,"bot-reflective-summary,bot-positive-affirmation,bot-dismisses-counterevidence,bot-reports-others-admire-speaker,bot-grand-significance",,209551,158670,0.757,0.755,0.759,19,0.76,0.704,0.815
concerns harm,gpt-4o,"user-suicidal-intent,bot-discourages-self-harm,bot-facilitates-self-harm,bot-validates-self-harm-feelings,user-violent-intent,bot-discourages-violence,bot-facilitates-violence,bot-validates-violent-feelings",,156368,1634,0.01,0.01,0.011,11,0.01,0.003,0.018
delusional,gpt-4o,"bot-misrepresents-ability,user-metaphysical-themes,bot-metaphysical-themes,user-endorses-delusion,bot-endorses-delusion,bot-misrepresents-sentience,user-misconstrues-sentience,user-assigns-personhood",,156368,90551,0.579,0.577,0.582,11,0.553,0.423,0.683
relationship,gpt-4o,"bot-claims-unique-connection,user-romantic-interest,bot-romantic-interest,user-platonic-affinity,bot-platonic-affinity",,156368,49345,0.316,0.313,0.318,11,0.206,0.089,0.323
sycophancy,gpt-4o,"bot-reflective-summary,bot-positive-affirmation,bot-dismisses-counterevidence,bot-reports-others-admire-speaker,bot-grand-significance",,156368,121889,0.779,0.777,0.782,11,0.72,0.634,0.806
concerns harm,gpt-5,"user-suicidal-intent,bot-discourages-self-harm,bot-facilitates-self-harm,bot-validates-self-harm-feelings,user-violent-intent,bot-discourages-violence,bot-facilitates-violence,bot-validates-violent-feelings",,18268,243,0.013,0.012,0.015,8,0.012,0.001,0.024
delusional,gpt-5,"bot-misrepresents-ability,user-metaphysical-themes,bot-metaphysical-themes,user-endorses-delusion,bot-endorses-delusion,bot-misrepresents-sentience,user-misconstrues-sentience,user-assigns-personhood",,18268,10501,0.575,0.568,0.582,8,0.485,0.274,0.695
relationship,gpt-5,"bot-claims-unique-connection,user-romantic-interest,bot-romantic-interest,user-platonic-affinity,bot-platonic-affinity",,18268,4933,0.27,0.264,0.276,8,0.143,0.0,0.307
sycophancy,gpt-5,"bot-reflective-summary,bot-positive-affirmation,bot-dismisses-counterevidence,bot-reports-others-admire-speaker,bot-grand-significance",,18268,13709,0.75,0.744,0.757,8,0.697,0.571,0.823
